RestaurantId,Cuisine,Rating,NumberOfReviews,Neighborhood,Recommended
lpLd3AFaMOV7LfPtvUiq8A,Chinese,3,620,171 E Broadway,1
ipv4lBvbfVzCnSahqrJckQ,Szechuan,4,243,18-24 College Point Blvd,1
y_ylOQzCP-9D_4DcUIJ3jA,Japanese,4,549,216 E 10th St,1
pZMxOkuYVq_Q5QYTGA8LEA,Ramen,4,140,382 7th Ave,1
SUHJfh7H2NiQx8c5OWoAyQ,Japanese,4,123,381 5th Ave,1
sVkwEFET38Myz3dM1uZpiw,Breakfast & Brunch,4,244,544 Union Ave,1
neQM053ovAOrf1sVSAPI9w,Asian Fusion,4,768,158 W 55th St,1
_LJFf9YqpYxvExTvVxb7Rw,American (New),4.5,803,9 W 53rd St,1
4W0qF6C0KDmGDOc4pR3CkQ,American (New),5,22,5310 Park Ave,1
lw4ZMgn-QBh_5W1ipNHjaw,French,4,35,29 E 61st St,1
16heVvLqYfLpl8mC1RN3Bg,Hot Pot,4.5,249,811 53rd St,1
0bM7u8ifFfXUnaybey3Yrg,Chinese,3,38,423 Fulton St,1
Dh2I2jRTXE7oDCfuA9vCoQ,Chinese,3.5,39,4720 30th Ave,1
rSY3MyWqpuy3dNuUN4zQ_g,French,4,330,52 W 33rd St,1
fyCteRCHqQb4rzJf4piKTg,Chinese,2,1,794 Amsterdam Ave,1
vWEKZVPIYFewfqCOkkvVIQ,Chinese,3.5,35,652 Seneca Ave,1
yVDNPV0Yf3vQAsXTJett1g,Chinese,3,36,44-69 21st St,1
2uVut84nu_1J1iXRoXRMiQ,Coffee & Tea,4,160,100 Park Ave,1
yRAU7MtAE9St6Q8LSeFZCQ,Italian,4,26,457 Bushwick Ave,1
aM8SCVt3APBw1kE5Zg0kkQ,Coffee & Tea,4.5,63,36A Ave A,1
o-KRgyTJoM4EM-K-rwe86w,Mexican,3.5,497,355 W 16th St,1
01hs_l54-211UuiJPI83lA,Japanese,4,168,35-15 Ditmars Blvd,1
vSPKmk499CglpfJFuFvbvg,Chinese,3.5,8,244 Canal St,1
jrXu38IeCFhHAgR8tI7exg,Breakfast & Brunch,2.5,308,235-237 E 14th St,1
pf_84vrm2-Ir0mVwzK8VNw,Indian,3.5,62,105 Greene St,1
wNFWtc20sGBvqM_BcfVgcw,Chinese,4.5,40,235 Palisade Ave,1
ZS49AhOMRPFH_3mQd_qA7A,Chicken Wings,4.5,405,250 Degraw Ave,1
T1bgtJcjtc-6xykWqBRfUw,Ramen,4,304,744 9th Ave,1
6gDUVNZo0E9lxO2DkAhHOQ,Greek,4.5,407,458 Greenwich St,1
9PmK63frTS-ZrvPCfpe1jg,Steakhouses,3.5,121,2257 1st Ave 116th St,1
TdUhTJ7hCt0uANqHIcltOA,French,4,272,469 4th Ave,1
gxvwxZWWSKNFMsVr10YAQg,Asian Fusion,3.5,263,137 1st Ave,1
3Rah-cvFk79duFQ83voQ5A,Hot Pot,4,201,37 St Marks Pl,1
Vs2IM_3Hyhh7FrzagM_9cQ,Seafood,4,210,34-21 34th Ave,1
wOYqxqz5yhx3CrP2RsCXpw,Breakfast & Brunch,4,527,953 Bloomfield St,1
qBGKigOGn_flCx1apxPzlA,Italian,4,275,196 Spring St,1
r2aGrOQe0yoY7FD9LI44Zg,Spanish,4,240,7909 Bergenline Ave,1
sNeefaiRztDQ10B4QzUi3g,Japanese,4.5,29,47 8th Ave,1
Ohi-o00luDtU7TMpVtJHJw,Vegetarian,4,892,187 9th Ave,1
rA4CDLdNtwnszjGT_KWzPQ,Coffee & Tea,4,503,774 9th Ave,1
sCC7-hSdCkNPExejZT9BAQ,Indian,4.5,1142,179 Essex St,1
ZYWwYSXWyDlVYIjPgXmIQA,Chinese,3.5,36,32-10 36th Ave,1
8Ef9eUwj4fO3uyY1dgEHsg,Chinese,3.5,17,2038 Amsterdam Ave,1
2eR8ftw-GiTEwg3Y7Rm-MA,Chinese,3.5,521,179 2nd Ave,1
yUVcpgecpq1qncpa1x34Hg,Chinese,3,12,6418 20th Ave,1
nPSkt8LFHNxYJsVIxOuAJg,Italian,4.5,22,132 Park Ave,1
2SMaAUcbNjW7vSwdg38P2Q,Ramen,3.5,326,136 W 28th St,1
i5cdbiw1KRyg4w0X44ZBwA,Italian,3.5,107,1295 3rd Ave,1
04exhf1PZ79_Km9vHAzvfA,Italian,4,661,173 Mott St,1
nSn3Qrz02c0KtbvoK9Wh7Q,Steakhouses,3.5,477,44 W 56th St,1
3DmJv5rHFNyQykaUiXBOvA,Chinese,3.5,26,992 Manhattan Ave,1
oNYP0AFOSw_oZEHkF_f0kQ,Mexican,4,88,520 24th St,1
cxJH3cwOZ-KUU3yKsQ72uw,Dim Sum,3.5,259,135-29 37th Ave,1
wMU7gPgp2M9JjJhkivZkgQ,Thai,3.5,235,750 9th Ave,1
trEnFaHqRkJqtjRvzx7PsQ,Greek,4,814,325 W 42nd St,1
46uJ0Im-ZLJNd-FZDB_H8g,Korean,4.5,7,321 Broad Ave,1
Xcnq-GIw48tMPlUIavpGmA,American (New),3.5,202,133 E 65th St,1
Rh3l9F0IvIrHGdwO5YAH3g,Japanese,2.5,22,515 Midland Ave,0
RhAnIGLcHTs4cDZ38o1UfQ,Tutoring Centers,1,1,1556 3rd Ave,0
Si3QKpqMLMK8CcUvT8YdLA,Barbeque,1.5,14,221 E 23rd St,0
T3kIirVGijXVCmftl6287w,Fast Food,2.5,22,429 7th Ave,0
T5N0NSny-Xxi6BP-ejxL2A,Sushi Bars,2,19,216 E 39th St,0
Bf2UQhIKXrdnrT8i8qUAJQ,Indian,1,1,15703 Rockaway Blvd,0
FtI8OKz6P1qiwQkJ1ulP_g,Bakeries,1,2,225 W 34th St,0
GgVSxkEzFRyAorxuODA1tQ,Indian,1,2,789 Newark Ave,0
J6YCQvybP8aJlHiy00Y6dw,Japanese,1,2,49 Fulton St,0
KJsmqYpiAP9hflkF3gaoPA,Asian Fusion,1,1,979A Second Ave,0
L_-RylYupDJG1leOCXQwcQ,Thai,1,1,41-83 Bowne St,0
LmMOWnnlwIBGYaXXgxG0vA,Barbeque,1,1,315 Ave Of The Americas,0
XwJwqa89PK-xPSiEXAs_6g,Indian,1.5,11,75TH And Columbus Ave,0
0l-l2j5NAIqtychRNs17Dw,Fast Food,2,73,114 Delancey St,0
bl0kmNsTNoJu16SqK9K5VQ,Coffee & Tea,2,2,972 6th Ave,0
bvNXEdDaUyy8zkth500qaw,Indian,2,95,132-04- Jamaica Ave,0
Bw34nA4J3Oumxyvi7KssAg,Breakfast & Brunch,2,2,589 Main St,0
bWENqo52d9fFPH9D-CWuqQ,Mexican,2,38,63 Reade St,0
faaD94iTxF4VEUNcPna35A,Seafood,2,20,240 E Houston St,0
fafNIotYycy_yM0vwMTzUQ,Asian Fusion,2,1,240 W 40th St,0
FixPdsfm___2OV2ztzY8JQ,Burgers,2,9,182 Broadway,0
GdWvUbmSKOJF8BDrnsElcA,Vietnamese,2,2,87 Baxter St,0
GK_uRKdunWF7LBYAy3xQig,Mexican,2,6,4420 48th Ave,0
MoV1TGBXh9WMPduroGnIbQ,Mexican,2,21,805 COLUMBUS AVENUE,0
NaSN8ZDmTK5NfRU9XkGbIg,Japanese,2,1,216 3rd Ave,0
nKcyBE_1b8Pz2aEI5BW7QQ,Caribbean,2,16,12221 Rockaway Blvd,0
nqcJCwOfkttQbxKBFGMHvQ,Fast Food,2,49,1499 3rd Ave,0
pPcvrJL27P4Q4oZaJ946QA,Japanese,2,73,535 8th Ave,0
1Bz6qutjjBIjpwUZ95wKBw,Fast Food,2.5,26,425 7th Ave,0
1STHZRLclKk0QxkHOznFkA,Fast Food,2.5,58,77 Chambers St,0
24zawWdBJLwm6lsqLDqfHQ,Sushi Bars,2.5,32,1301 2nd Ave,0
-5JwknVLIT36YTGhvkuBaw,Latin American,2.5,198,3233 E Tremont Ave,0
5JYpVoaYkYxrByOskzHAdQ,Japanese,2.5,49,133 John St,0
63v5dgX2SHPs-eP3IgKTIQ,Fast Food,2.5,41,20 E 14th St,0
6WvF89SWYCMqh2Z34mX-3Q,Reflexology,2.5,3,55 Bayard Street Basement,0
7_NCS8bQ8UA_nEANIWm-hQ,Indian,2.5,19,685 Third Ave,0
CpKF-ZTNZBhFqV5LcBYJnw,Delis,2.5,75,699 6th Ave,0
CpsnurlPqkUBWwqO69xS7A,Indian,2.5,3,220 3rd Ave,0
CrEHI10_Y-FB_KmqKmAqzg,Japanese,2.5,7,198A Orchard St,0
CYz0z7l7DndLcl8mtiIT5g,Japanese,2.5,2,15 Vanderbilt Ave,0
D5PuTv7Z-CI62sjJbM2WRw,Cantonese,2.5,5,85 Chrystie St,0
d7ik-WYCYFvTZwXydrLlgw,Greek,2.5,3,527 Metropolitan Ave,0
DB3CWuk6bQuulJx69ZSz0w,Sushi Bars,2.5,24,29 Irving Pl,0
DcvN0rRsqdMNdibDjfOCJQ,Argentine,2.5,115,11108 Queens Blvd,0
dDAlpjRdymf148x_9tL0pQ,Asian Fusion,2.5,65,1444 3rd Ave,0
DG3Ze4-Rj7JieKBEryV0EA,Fast Food,2.5,15,146 Delancey St,0
DGOLOC0kR5FCzvD7X6RNqw,Fast Food,2.5,7,291 Saint Nicholas Ave,0
dmAQ6J40AR-v08MxpvQT0Q,Sushi Bars,2.5,7,857 9th Ave,0
ggJ8NWu0augmwCdbJu1n8w,Seafood,2.5,86,83-17 Broadway,0
gMXn-XlZH7uI3ZRdpfqipg,Steakhouses,2.5,148,51-05 58th St,0
gNDdRSWiuxdulA-Ajx6zCQ,French,2.5,224,300 W 46th St,0
gNS0joGKALsNXFqKmZuurg,Chinese,2.5,61,877 10th Ave,0
go9fTb59h5WJ_e5Guw-Y8g,Mexican,2.5,17,150 E 44th St,0
gUiaxkCdvUfDXhDH_zdHYg,Apartments,2.5,3,307 E 14th St,0
Gw9wDneQviRAhrpEUkcnWQ,Mexican,2.5,133,1497 3rd Ave,0
gWaK8OEXawE43-Di0ykTNQ,Seafood,2.5,82,70 Mott St,0
JXCiSk6ZbczHXZ9kfBEsOA,Salad,2.5,31,1274 1st Ave,0
JYqPz5dabkJbFLaCPdAj7g,Fast Food,2.5,43,240 W 40th St,0
jzEaiiRa3497HWdf4QKHIA,Pizza,2.5,63,4 World Trade Ctr,0
K3en5IZojIQ67E0czbBNBQ,Caterers,2.5,46,466 Lexington Ave,0
KHqLsj90mvMCy0Y3YXTOkw,Delis,2.5,107,500 Lexington Ave,0
KhxFHJ2sp_1q2Whuxx6j9A,Seafood,2.5,22,79-21 Queens Blvd,0
kM27KOTMWnR9taTPudds9Q,Dim Sum,2.5,117,136-20 Roosevelt Ave,0
KnvGnK2-wm2RHjKTIPch8w,Sushi Bars,2.5,133,173 Broadway,0
kpW1PZzKfPDDcd-Mbp3FaA,Burgers,2.5,22,445 Albee Square W,0
mlc6FvnDLOPDppn-97_52Q,Breakfast & Brunch,2.5,48,213 Park Ave S,0
MM5i395oQHBP-9XtJrsO3A,Japanese,2.5,227,700 Plaza Dr,0
MRBq3He22yi4ol01SdVlRA,Street Vendors,2.5,44,null,0
mWXfJBMdZkD3VnARa5ZAYg,Italian,2.5,11,263 W 42nd St,0
m_BTgSsjn8T881XxMMmDuw,Caribbean,2.5,3,1210 Flatbush Ave,0
m4_k7yyNyU3yuUtb9CbpmQ,Thai,2.5,3,536 3rd Ave,0
M7aFxytftoeiXMJnNAPxUg,Greek,2.5,235,33-02 Ditmars Blvd,0
rby1H3FmLv0dtTDyn2rLxw,Fast Food,2.5,8,148 W 125th St,0
rcjomb_bm3DoJtgOJ0MW9A,Italian,2.5,15,10 Little W 12th St,0
rdhthpOOv9ApynrgQTnvqQ,Mediterranean,2.5,124,324 Washington St,0
RGnWIHygEis4uEtO_uR6RQ,Sandwiches,2.5,47,Grand Central Terminal,0
RjxtXkvbVBCDpJdt8pn5lg,Thai,2.5,112,279 Bushwick Ave,0
RvSqiP7Sj0kebrllKdDo_Q,Fast Food,2.5,44,2049 Broadway,0
RVVXyZaUDWtPLxJRuP7wEw,Thai,2.5,58,230 Park Ave,0
rXTgrqD5UP21rrZp92utGQ,Pizza,2.5,15,1976 1st Ave,0
shNn0uGXQBD7wEIhbtzeIg,Indian,2.5,2,210 E 43rd St,0
shzBB1nH8rfz7o5wrp0z5A,Seafood,2.5,36,47th & Park Ave,0
skTsNRMFjUvIY4iWV_9Hhw,Parking,2.5,2,527 East 14th Street,0
Sn2i5Ctj85hcsSgIaiUCzw,Chinese,2.5,13,1217 1st Ave,0
sul_ihulQ5VUPNbk9liWqA,Lounges,2.5,269,605 W 48th St,0
sUVRmTS3gwZtdDbjA5TPpA,Indian,2.5,8,2409 2nd Ave,0
SYQwo6Ikr38GqwKEHuDIpQ,Mexican,2.5,21,286 First Ave,0
t08ar0NCRS1HaqAZkvh_Gg,Ramen,2.5,6,Harborside Financial Center Platform,0
GzLvItrtwlPpkH0HPEC_5w,Mediterranean,3,151,173 Madison Ave,0
GzY2EjCmGNgvRd7IE20fTA,Asian Fusion,3,182,235 Murray St,0
H20RCBmxdkf2kNjftedPyg,Japanese,3,26,525 Ave Of The Americas,0
h4kSprW0LhnrUox8s3PasA,Japanese,3,67,121 E 27th St,0
H5bhfR5sL0I2w1csjI1uMA,Pizza,3,48,1-50 50th Ave,0
H-6xYovzB8AKZb14bmYnWg,French,3,252,85 Morris St,0
jHn3mUjbe9caYZNe1z9YUw,Sushi Bars,3,120,1406 Cortelyou Rd,0
jId2DpLN3Q3yI2e5MQO72w,Airlines,3,12,609 5th Ave,0
JjSrwEPSCKABNqbpWArKWg,Chinese,3,31,875 3rd Ave,0
JKp2xxZGXivogDkV8mSSZg,American (Traditional),3,139,250 E 58th St,0
jMdziYLNYGDCegkFQ4lTQA,Pizza,3,37,95 W Broadway,0
JCPykGY64Ok0MXo1T_35Cw,Fast Food,3,22,2158 8th Ave,0
